Category,Product,Volume (mL),ABV (%),qty,Current Price ($),Regular Price ($),mL / $,mL / $ (sale)
Beer,St Ambroise Session IPA 473ml,,,1,,,,
Beer,Staropramen 500ml,,,1,,,,
Beer,McEwans Scotch Ale 330ml,,,1,,,,
Beer,Muskoka Detour 341ml,,,1,,,,
Beer,Muskoka Mad Tom IPA 341ml,,,1,,,,
Beer,Collective Arts Rhyme & Reason Extra Pale Ale 473ml,,,1,,,,
Beer,Garrison Seaport Blonde 473ml,,,1,,,,
Beer,Carlsberg 330ml,,,1,,,,
Beer,Petit-Sault Bob LeBoeuf 341ml,341,5.2,1,2.6,2.6,6.820000000000001,6.820000000000001
Beer,Petit-Sault Buckdjeuve 341ml,,,1,,,,
Beer,Petit-Sault Canon Franchetti 341ml,341,4.6,1,2.6,2.6,6.033076923076923,6.033076923076923
Beer,Petit-Sault Tante Blanche 341ml,341,4.7,1,2.8,2.8,5.723928571428572,5.723928571428572
Beer,Innis & Gunn IPA 330ml,,,1,,,,
Beer,Becks 330ml,330,5.0,1,2.89,2.89,5.709342560553633,5.709342560553633
Beer,Modelo Especial 355ml,,,1,,,,
Beer,Sol 330ml,330,5.0,1,2.99,2.99,5.518394648829431,5.518394648829431
Beer,Grand River Highballer Pumpkin Ale 473ml,,,1,,,,
Beer,Petit-Sault Bonhomme Sept Heures 341ml,341,8.5,1,2.95,2.95,9.82542372881356,9.82542372881356
Beer,Petit-Sault Col John Baker Dubbel 341ml,341,6.8,1,2.8,2.8,8.281428571428572,8.281428571428572
Beer,Dos Equis Special Lager 355ml,355,4.6,1,2.99,2.99,5.461538461538461,5.461538461538461
Beer,Heineken Lager 330ml B,330,5.0,1,2.99,2.99,5.518394648829431,5.518394648829431
Beer,Johnny Jacks Smokin Amber Ale 355ml,,,1,,,,
Beer,Johnny Jacks Stormy Sunset IPA 355ml,,,1,,,,
Beer,Red Stripe 330ml,,,1,,,,
Beer,Wernesgruner Pils 500ml,500,4.9,1,3.19,3.19,7.6802507836990594,7.6802507836990594
Beer,Long Bay Amplified Kolsch 355ml,,,1,,,,
Beer,Long Bay Bantam American Pale Ale 355ml,355,5.5,1,3.25,3.25,6.007692307692308,6.007692307692308
Beer,Long Bay Chalice Belgian Ale 355ml,355,6.5,1,3.25,3.25,7.1,7.1
Beer,Collective Arts Ransack The Universe Hemisphere IPA 473ml,473,6.8,1,5.29,5.29,6.08015122873346,6.08015122873346
Beer,Pilsner Urquell 500ml,500,4.4,1,3.69,3.69,5.962059620596207,5.962059620596207
Beer,Side Launch Mountain Lager 473ml,,,1,,,,
Beer,Carlsberg 500ml,500,5.0,1,1.88,3.69,6.775067750677507,13.297872340425533
Beer,Pump House Premium Lager 473ml,,,1,,,,
Beer,Corona Extra 330ml,330,4.6,1,3.39,3.39,4.47787610619469,4.47787610619469
Beer,Innis & Gunn Blood Red Sky 330ml,330,7.4,1,4.09,4.09,5.9706601466992675,5.9706601466992675
Beer,Mill Street Tankhouse Ale 341ml,,,1,,,,
Beer,Muskoka Shinnicked Stout 473ml,,,1,,,,
Beer,Whistler Function Junction Northwest Pale Ale 500ml,,,1,,,,
Beer,Samuel Adams Octoberfest 355ml,,,1,,,,
Beer,Gahan Vic Park Pale Ale 473ml,,,1,,,,
Beer,Muskoka Raspbeery Coco Lait Stout 473ml,,,1,,,,
Beer,Bogtrotter Craft Snapping Turtle Stout 500ml,,,1,,,,
Beer,Hoegaarden White Beer / Biere Blanche 330ml,330,4.9,1,2.09,3.49,4.63323782234957,7.736842105263159
Beer,Leffe Blonde 330ml,,,1,,,,
Beer,Amsterdam Fracture Imperial IPA 355ml,,,1,,,,
Beer,Big Axe Hatchet Blonde Ale 375ml,375,4.8,1,3.5,3.5,5.142857142857143,5.142857142857143
Beer,Big Axe Lizzy Borden Red 375ml,375,5.0,1,3.5,3.5,5.357142857142857,5.357142857142857
Beer,Grolsch Radler 500ml,500,2.0,1,1.89,3.5,2.857142857142857,5.291005291005291
Beer,Long Bay Ruckus IPA 355ml,355,7.0,1,3.5,3.5,7.1000000000000005,7.1000000000000005
Beer,Long Bay Seasonal 355ml,355,5.5,1,3.5,3.5,5.578571428571428,5.578571428571428
